               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.023883,            0.022332,           0.0015252,              0.9639,             0.97668,             0.99053,             0.73055,              0.0199,             0.01514,           0.0012776,            0.005743,            0.005743,            0.005743
                  88,            0.024344,            0.023792,           0.0015484,             0.95903,              0.9801,             0.98849,             0.74087,            0.019205,            0.015772,           0.0012691,           0.0056935,           0.0056935,           0.0056935
                  89,            0.023869,            0.021798,           0.0015971,             0.94342,             0.98427,             0.99105,             0.73472,            0.018999,            0.014892,           0.0012919,            0.005644,            0.005644,            0.005644
                  90,            0.024368,            0.022438,           0.0018938,             0.96489,             0.98891,             0.99165,             0.72968,            0.018371,            0.014995,           0.0013047,           0.0055945,           0.0055945,           0.0055945
                  91,            0.023632,            0.023688,           0.0015775,             0.96179,             0.99206,             0.99095,             0.75789,            0.018353,            0.015001,           0.0012876,            0.005545,            0.005545,            0.005545
                  92,            0.023412,             0.02232,             0.00148,             0.96469,             0.99093,             0.99212,              0.7607,            0.018408,            0.015101,           0.0012767,           0.0054955,           0.0054955,           0.0054955
                  93,            0.024046,             0.02294,           0.0015279,              0.9609,             0.98905,             0.99243,             0.71765,            0.019246,            0.015006,           0.0012484,            0.005446,            0.005446,            0.005446
                  94,            0.023914,            0.023068,           0.0015473,             0.97185,             0.98958,              0.9925,             0.74601,            0.018905,            0.015144,           0.0012276,           0.0053965,           0.0053965,           0.0053965
                  95,            0.023551,            0.023663,           0.0015439,             0.96589,             0.99026,             0.99313,             0.75031,            0.017942,            0.015037,           0.0012382,            0.005347,            0.005347,            0.005347
                  96,            0.022729,            0.023587,           0.0014575,             0.96247,             0.97949,             0.99295,             0.76503,            0.017463,            0.014687,           0.0011793,           0.0052975,           0.0052975,           0.0052975
                  97,            0.022756,            0.023043,           0.0015075,             0.97348,             0.99276,             0.99298,             0.75828,            0.018051,            0.014501,           0.0011467,            0.005248,            0.005248,            0.005248
                  98,            0.023056,            0.022445,           0.0016381,             0.97468,             0.99231,             0.99338,             0.75457,            0.017825,            0.014341,           0.0011684,           0.0051985,           0.0051985,           0.0051985
                  99,            0.023042,            0.021188,            0.001587,             0.96495,             0.98205,              0.9939,             0.75049,            0.017237,             0.01423,           0.0011549,            0.005149,            0.005149,            0.005149
                 100,            0.021875,            0.021464,           0.0016003,             0.96472,             0.97058,              0.9914,              0.7589,            0.017181,            0.014503,           0.0011336,           0.0050995,           0.0050995,           0.0050995
                 101,            0.022943,            0.023509,           0.0014987,             0.96454,             0.97179,             0.99131,             0.75525,            0.016584,            0.014845,           0.0011522,             0.00505,             0.00505,             0.00505
                 102,            0.021938,            0.024215,           0.0013636,             0.96869,             0.98645,             0.99283,             0.76656,            0.016917,            0.013805,            0.001116,           0.0050005,           0.0050005,           0.0050005
                 103,            0.022531,            0.022219,           0.0015134,             0.94773,             0.98506,             0.99161,             0.76188,            0.016262,            0.013435,           0.0010935,            0.004951,            0.004951,            0.004951
                 104,            0.021615,            0.022275,           0.0014178,             0.96131,             0.98462,             0.99184,             0.76092,            0.016308,            0.013442,           0.0010702,           0.0049015,           0.0049015,           0.0049015
                 105,            0.022146,            0.022052,           0.0013879,             0.96804,             0.99103,             0.99244,             0.76859,             0.01719,            0.013924,            0.001093,            0.004852,            0.004852,            0.004852
                 106,            0.021404,            0.022424,            0.001621,             0.96274,             0.99307,             0.99301,             0.75685,            0.016584,            0.013734,           0.0011027,           0.0048025,           0.0048025,           0.0048025
                 107,            0.021704,            0.022883,           0.0013768,             0.97884,             0.98207,             0.99279,             0.78019,             0.01782,            0.014123,            0.001079,            0.004753,            0.004753,            0.004753
                 108,            0.022016,            0.022526,           0.0013033,             0.96812,             0.99389,             0.99207,             0.77649,            0.017956,             0.01418,           0.0010554,           0.0047035,           0.0047035,           0.0047035
                 109,            0.022506,            0.023137,           0.0016094,             0.97564,             0.99117,             0.99179,             0.77243,            0.016267,            0.014248,           0.0010273,            0.004654,            0.004654,            0.004654
                 110,            0.021167,            0.021581,           0.0014486,             0.96674,             0.99468,             0.99263,             0.78575,            0.016177,            0.014005,          0.00097725,           0.0046045,           0.0046045,           0.0046045
                 111,            0.021852,            0.021463,           0.0013155,             0.96784,             0.99359,             0.99214,             0.77714,            0.015519,            0.013782,          0.00099081,            0.004555,            0.004555,            0.004555
                 112,            0.020914,            0.022635,           0.0012751,             0.97767,              0.9859,             0.99217,              0.7798,            0.015481,            0.013569,          0.00096631,           0.0045055,           0.0045055,           0.0045055
                 113,            0.020556,            0.021905,           0.0012463,             0.97684,             0.99359,             0.99273,             0.77241,            0.016383,            0.013863,          0.00098369,            0.004456,            0.004456,            0.004456
                 114,            0.020976,            0.020391,           0.0018044,             0.97611,             0.99271,             0.99326,             0.76793,            0.015682,            0.013436,          0.00095801,           0.0044065,           0.0044065,           0.0044065
                 115,            0.020427,            0.022165,           0.0011853,             0.97929,             0.99733,             0.99377,             0.78616,            0.015931,            0.013409,          0.00092418,            0.004357,            0.004357,            0.004357
                 116,             0.02074,             0.02111,           0.0011782,             0.97705,             0.99381,              0.9939,             0.76963,            0.016341,             0.01359,          0.00092461,           0.0043075,           0.0043075,           0.0043075
                 117,            0.020243,            0.021386,            0.001285,             0.97387,             0.99359,             0.99425,             0.79137,              0.0148,            0.013188,          0.00093255,            0.004258,            0.004258,            0.004258
                 118,            0.020104,            0.021343,           0.0013637,             0.96973,             0.98878,             0.99471,             0.78609,            0.015396,            0.013362,          0.00091785,           0.0042085,           0.0042085,           0.0042085
                 119,            0.021154,            0.020413,           0.0013725,             0.97087,             0.99231,             0.99462,             0.79354,            0.015447,            0.013306,          0.00091996,            0.004159,            0.004159,            0.004159
                 120,            0.020517,            0.021628,           0.0013248,             0.97391,             0.99144,             0.99467,             0.79351,            0.014912,            0.013305,          0.00093023,           0.0041095,           0.0041095,           0.0041095
                 121,            0.019735,            0.021999,           0.0012164,             0.97325,             0.99408,             0.99441,             0.80338,            0.014437,             0.01296,          0.00090544,             0.00406,             0.00406,             0.00406
                 122,             0.01979,            0.021562,           0.0011648,             0.98112,             0.99338,             0.99457,             0.80618,            0.014883,             0.01281,          0.00085648,           0.0040105,           0.0040105,           0.0040105
                 123,            0.019884,            0.021313,           0.0012309,             0.98112,             0.98593,             0.99471,             0.80212,            0.014875,            0.012888,          0.00084153,            0.003961,            0.003961,            0.003961
                 124,            0.019829,            0.022034,           0.0012328,             0.97432,             0.98077,             0.99464,             0.79406,            0.014568,            0.013205,          0.00085942,           0.0039115,           0.0039115,           0.0039115
                 125,            0.019346,            0.020696,           0.0013746,             0.97038,             0.99103,              0.9949,             0.78432,            0.014694,            0.013047,          0.00084847,            0.003862,            0.003862,            0.003862
                 126,            0.018561,            0.019589,           0.0010154,             0.97373,             0.99231,              0.9946,             0.78573,            0.015429,            0.013154,          0.00086596,           0.0038125,           0.0038125,           0.0038125
